Website,Company Name,Ticker,Exchange,domain,files_in_bucket
https://muzhumining.ca,Muzhu Mining Ltd.,MUZU,CSE,muzhumining.ca,0
https://myriaduranium.com,Myriad Uranium Corp.,M,CSE,myriaduranium.com,88
https://nationgold.ca,Nation Gold Corp,NATN,CSE,nationgold.ca,21
https://neotechmetals.com/,Neotech Metals Corp.,NTMC,CSE,neotechmetals.com,65
https://www.silvereaglemines.com,Nevada Organic Phosphate Inc.,NOP,CSE,silvereaglemines.com,1
https://www.newbreakresources.ca,New Break Resources Ltd.,NBRK,CSE,newbreakresources.ca,190
https://newfoundlanddiscovery.ca,Newfoundland Discovery Corp.,NEWD,CSE,newfoundlanddiscovery.ca,137
https://newpathresources.com,Newpath Resources Inc.,PATH,CSE,newpathresources.com,131
https://www.newterraresources.com,Newterra Resources Inc.,NT,CSE,newterraresources.com,9
,Nexco Resources Inc.,NXU.X,CSE,,0
https://www.nexusuranium.com,Nexus Uranium Corp.,NEXU,CSE,nexusuranium.com,0
https://ninemilemetals.com,Nine Mile Metals Ltd.,NINE,CSE,ninemilemetals.com,169
https://brascanresources.com,Nordique Resources Inc.,NORD,CSE,brascanresources.com,1
https://norsemont.com,Norsemont Mining Inc.,NOM,CSE,norsemont.com,70
https://www.northvalleyresources.ca,North Valley Resources Ltd.,NVR,CSE,northvalleyresources.ca,10
https://northernlightsresources.com,Northern Lights Resources Corp.,NLR,CSE,northernlightsresources.com,53
https://www.northstargoldcorp.com,Northstar Gold Corp.,NSG,CSE,northstargoldcorp.com,0
https://northxnickel.com,NorthX Nickel Corp. (formerly was RCHR/Archer Exploration Corp. until 2024-04-30),NIX,CSE,northxnickel.com,95
https://www.novapacificmetals.com/,Nova Pacific Metals Corp. (formerly was NVLI/Nova Lithium Corp. until 2024-07-10),NVPC,CSE,novapacificmetals.com,44
https://nsjgold.com,NSJ Gold Corp.,NSJ,CSE,nsjgold.com,0
https://nuclearfuels.energy,Nuclear Fuels Inc.,NF,CSE,nuclearfuels.energy,0
https://www.nuinsco.ca,Nuinsco Resources Limited,NWI,CSE,nuinsco.ca,67
https://www.oberonuranium.com,Oberon Uranium Corp.,OBRN,CSE,oberonuranium.com,17
https://www.omegapacific.ca,Omega Pacific Resources Inc.,OMGA,CSE,omegapacific.ca,0
https://oneworldlithium.com,One World Lithium Inc.,OWLI,CSE,oneworldlithium.com,72
https://origenresources.com,Origen Resources Inc.,ORGN,CSE,origenresources.com,161
https://pampametals.com,Pampa Metals Corporation,PM,CSE,pampametals.com,298
https://panam-energy.com,Pan American Energy Corp.,PNRG,CSE,panam-energy.com,230
https://pantherminerals.ca,Panther Minerals Inc. (formerly was LLM/Lithium Lion Metals Inc. until 2024-04-18),PURR,CSE,pantherminerals.ca,66
https://www.pasinex.com,Pasinex Resources Limited,PSE,CSE,pasinex.com,0
https://www.patriotgoldcorp.com,Patriot Gold Corp.,PGOL,CSE,patriotgoldcorp.com,225
https://peakminerals.com/,Peak Minerals Ltd.,PEK,CSE,peakminerals.com,8
https://www.pedroresources.com,Pedro Resources Ltd.,VBN,CSE,pedroresources.com,37
https://pegmatiteone.com,Pegmatite One Lithium and Gold Corp.,PGA,CSE,pegmatiteone.com,3
https://pelotonminerals.com,Peloton Minerals Corporation,PMC,CSE,pelotonminerals.com,186
https://planetgreenmetals.com,Planet Green Metals Inc. (formerly was FZ/Forza Lithium Corp. until 2024-04-08),PGR,CSE,planetgreenmetals.com,45
https://plutoventures.ca/,Pluto Ventures Inc.,PLTO,CSE,plutoventures.ca,7
,Powermax Minerals Inc.,PMAX,CSE,,0
